max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,val_recall_at_k
2,4,50,100,0.05,0.49514563106796117
2,8,50,100,0.05,0.49514563106796117
2,4,30,100,0.05,0.47572815533980584
2,8,30,100,0.05,0.47572815533980584
3,8,50,100,0.05,0.47572815533980584
3,4,50,100,0.05,0.46601941747572817
3,8,50,50,0.05,0.46601941747572817
2,4,50,50,0.05,0.4563106796116505
2,8,50,50,0.05,0.4563106796116505
3,4,30,50,0.05,0.4563106796116505
3,4,30,100,0.05,0.4563106796116505
2,4,30,50,0.05,0.44660194174757284
2,8,30,50,0.05,0.44660194174757284
3,8,30,100,0.05,0.44660194174757284
3,4,50,50,0.05,0.4368932038834951
3,8,30,50,0.05,0.42718446601941745
