model,threshold,accuracy,precision,recall,f1,flagged_fraction
Logistic Regression,0.05,0.2597402597402597,0.2597402597402597,1.0,0.41237113402061853,1.0
Logistic Regression,0.1,0.2597402597402597,0.2597402597402597,1.0,0.41237113402061853,1.0
Logistic Regression,0.15,0.274582560296846,0.263653483992467,1.0,0.4172876304023845,0.9851576994434137
Logistic Regression,0.2,0.3098330241187384,0.268,0.9571428571428572,0.41875,0.9276437847866419
Logistic Regression,0.25,0.3784786641929499,0.2847682119205298,0.9214285714285714,0.4350758853288364,0.8404452690166976
Logistic Regression,0.3,0.4601113172541744,0.3117206982543641,0.8928571428571429,0.46210720887245843,0.7439703153988868
Logistic Regression,0.35,0.5064935064935064,0.32,0.8,0.45714285714285713,0.6493506493506493
Logistic Regression,0.4,0.549165120593692,0.3289036544850498,0.7071428571428572,0.4489795918367347,0.5584415584415584
Logistic Regression,0.45,0.6048237476808905,0.36015325670498083,0.6714285714285714,0.4688279301745636,0.4842300556586271
Logistic Regression,0.5,0.647495361781076,0.3893805309734513,0.6285714285714286,0.4808743169398907,0.41929499072356213
Logistic Regression,0.55,0.6957328385899815,0.43333333333333335,0.5571428571428572,0.4875,0.3339517625231911
Logistic Regression,0.6,0.7328385899814471,0.48484848484848486,0.45714285714285713,0.47058823529411764,0.24489795918367346
Logistic Regression,0.65,0.7421150278293135,0.5046728971962616,0.38571428571428573,0.43724696356275305,0.19851576994434136
Logistic Regression,0.7,0.764378478664193,0.5866666666666667,0.3142857142857143,0.40930232558139534,0.1391465677179963
Logistic Regression,0.75,0.7588126159554731,0.6,0.21428571428571427,0.3157894736842105,0.09276437847866419
Logistic Regression,0.8,0.7625231910946196,0.7,0.15,0.24705882352941178,0.055658627087198514
Logistic Regression,0.85,0.7662337662337663,0.8181818181818182,0.12857142857142856,0.2222222222222222,0.04081632653061224
Logistic Regression,0.9,0.7606679035250464,1.0,0.07857142857142857,0.1456953642384106,0.02040816326530612
Logistic Regression,0.95,0.7439703153988868,1.0,0.014285714285714285,0.028169014084507043,0.0037105751391465678
LightGBM,0.05,0.2597402597402597,0.2597402597402597,1.0,0.41237113402061853,1.0
LightGBM,0.1,0.2597402597402597,0.2597402597402597,1.0,0.41237113402061853,1.0
LightGBM,0.15,0.2597402597402597,0.2597402597402597,1.0,0.41237113402061853,1.0
LightGBM,0.2,0.2690166975881262,0.26217228464419473,1.0,0.41543026706231456,0.9907235621521335
LightGBM,0.25,0.30241187384044527,0.2704280155642023,0.9928571428571429,0.42507645259938837,0.9536178107606679
LightGBM,0.3,0.4044526901669759,0.2947845804988662,0.9285714285714286,0.4475043029259897,0.8181818181818182
LightGBM,0.35,0.4601113172541744,0.30886075949367087,0.8714285714285714,0.45607476635514016,0.7328385899814471
LightGBM,0.4,0.5157699443413729,0.32763532763532766,0.8214285714285714,0.4684317718940937,0.6512059369202227
LightGBM,0.45,0.5955473098330241,0.35766423357664234,0.7,0.47342995169082125,0.5083487940630798
LightGBM,0.5,0.6493506493506493,0.38388625592417064,0.5785714285714286,0.46153846153846156,0.3914656771799629
LightGBM,0.55,0.6883116883116883,0.41566265060240964,0.4928571428571429,0.45098039215686275,0.3079777365491651
LightGBM,0.6,0.7179962894248608,0.45081967213114754,0.39285714285714285,0.4198473282442748,0.22634508348794063
LightGBM,0.65,0.7476808905380334,0.5238095238095238,0.3142857142857143,0.39285714285714285,0.15584415584415584
LightGBM,0.7,0.7662337662337663,0.6346153846153846,0.2357142857142857,0.34375,0.09647495361781076
LightGBM,0.75,0.7625231910946196,0.7,0.15,0.24705882352941178,0.055658627087198514
LightGBM,0.8,0.7680890538033395,0.8571428571428571,0.12857142857142856,0.2236024844720497,0.03896103896103896
LightGBM,0.85,0.75139146567718,1.0,0.04285714285714286,0.0821917808219178,0.011131725417439703
LightGBM,0.9,0.7458256029684601,1.0,0.02142857142857143,0.04195804195804196,0.0055658627087198514
LightGBM,0.95,0.7402597402597403,0.0,0.0,0.0,0.0
